,nn rmse,nn r2,rnn mape,att rmse,att r2,att mape
average feed intake g per d,24.61178436495506,0.8849923877288435,0.1606092109281549,24.377109632615724,0.8871751395038446,0.15944829670204655
"bodyweightgain,g",9.630033284044185,0.8959602451788327,0.1392217880632858,22.354563499020248,0.43937026032352045,0.34322252344659104
Liver PUFA,151.42495993746198,0.8672950931967006,1.2167298218299831,440.0749898072513,-0.12084464598830835,1.7740170804999136
Liver n-3,47.79336544579082,0.5580064558950386,2.002187630204842,76.08517363369917,-0.12016183512515033,1.5742488722434975
Liver C18:3 ,25.219944161088872,-17.271921387200248,0.9656217397661517,8.594382257427238,-1.1219019358454498,0.23665892866721017
Liver C22:6,32.40579715851561,0.4251262959948058,1.4684720996275313,43.60914366587782,-0.04107529921141473,1.1395540166421918
Breast SFA,14.58223957942883,0.974854451110625,0.6176046771452418,93.86766240299855,-0.041944693171851455,3.3565176859171024
Breast MUFA,18.201218175919486,0.968424560059462,0.8380824910415628,103.73786819921871,-0.025706569993498185,4.288491697072131
Breast PUFA,30.03937828546119,0.910904469195019,1.0145193506762562,101.14965667803628,-0.01018953619516827,4.554483494210212
Breast n-3,2.114328886009903,0.8667026834659235,0.9061260678025506,3.325558487963801,0.6702342851112257,2.761246205813866
Breast n-6,31.88056741427703,0.8891747180973066,1.2716740459728633,97.48682871676776,-0.03628364865370326,5.541975964022637
Thigh SFA,85.52384959214133,0.7807302550448761,0.8456648461505052,188.29815737616607,-0.06290969821843428,4.78481551997373
Thigh MUFA,110.06228335437667,0.7635418860894438,0.9725875018783426,233.78400696728983,-0.06685839810402672,5.8489380103967745
Thigh PUFA,156.0325687329969,0.6479328098691286,1.5665954024255262,272.9163462043168,-0.07709530863324243,5.874131025077104
Thigh n-3,2.3118014809989353,0.9669336363008567,2.1418248028986113,6.931304274410774,0.7027544980612597,4.103026079442234
Thigh n-6,144.1028641261049,0.6364720704421737,1.7048864497403486,248.0233521526707,-0.07690576845241703,7.330116395163095
Thigh C18:3,5.609052509382609,0.5832575540570251,1.5791545133635494,5.779883203775286,0.5574861682409908,3.2909660289202556
Thigh C20:4,0.5431377902195784,0.9178972515839736,0.47357991148493545,0.5382251792031861,0.9193757522504824,0.9576896243938481
Thigh C22:6,3.4531701561256285,-0.19467412129302986,0.9822170805597338,2.1048752399928037,0.5561193458495273,0.6496004674594995
Plasma n-6,0.14924766466114153,0.4371778121223663,0.16573808043209864,0.17978768305060588,0.18327473060927146,0.18531678773641866
Plasma SFA,0.19276193817293397,-0.1203604362987476,0.12647523086440984,0.3091423745733984,-1.8815905567570912,0.21900862630432577
Plasma PUFA,0.19121757228567926,-1.0652466395274276,0.17669218290906913,0.19492127703015727,-1.1460252131168533,0.1731313725333619
Plasma n-3,0.4062709561779258,-7.262795263875075,0.8550561502429229,0.1764345724897188,-0.5583421526834071,0.39206842010468396
