,average feed intake g per d,"bodyweightgain,g",akp U per ml,alt (U per L),glucose (g per L),"nefa,umol per L",tg mg per g,trap U per L,uric acid mmol per L,BCA,Liver PUFA,Liver n-3,Liver C22:6,Breast SFA,Breast MUFA,Breast PUFA,Breast n-3,Breast n-6,Breast C18:3 ,Breast C22:6,Thigh SFA,Thigh MUFA,Thigh PUFA,Thigh n-3,Thigh n-6,Thigh C18:3,Thigh C20:4,Thigh C22:6,Plasma n-6,Plasma SFA,Plasma PUFA,Plasma n-3,breast mTOR,breast S6K1,breast 4E-BP1,breast MURF1,breast MAFbx,breast AMPK,breast LAT1,breast CAT1,breast SNAT2,breast VDAC1,breast ANTKMT,breast AKT1,IGF1,IGFR,IRS1,FOXO1,LC3-1,MyoD,MyoG,Pax3,Pax7,Mrf4,Mrf5,liver mTOR,liver S6K1,liver 4E-BP1,liver MURF1,liver MAFbx,liver AMPK
15,,,,,,,,,,,,,,"Ether extract,g",,,,"Valine,g",,,,,,,,,,,,,,,,,,"Total Phosphorus,g",,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,Niacin mg,,,,,,,,,,,,,,,,,,"Threonine,g",,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,"C22:0,g",,,,,,,,,,,,,,,,,,"Glutamic acid,g",,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,Choline mg,,,,,,,,,,,,,,,,,,"C18:2 cis n-6 LA,g",,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,"Phe + Tyr,g",,,,,,,,,,,,,,,,,,Riboflavin mg,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,"n-3:n-6 ratio,g",,,,,,,,,,,,,,,,,,"C16:0,g",,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,"C14,g",,,,,,,,,,,,,,,,,,"NFC,g",,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,Thiamin mg,,,,,,,,,,,,,,,,,,"Alanine,g",,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,"CP,g",,,,,,,,,,,,,,,,,,"C18:1,g",,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,"Starch,g",,,,,,,,,,,,,,,,,,"C18:3 cis n-3 ALA,g",,,,,,,,,,,,,,,,,,,,,,,,,
