,rmse,r2,mape
average feed intake g per d,7.434687576278382,0.9890530509754434,0.014800915655414058
"bodyweightgain,g",6.3403750063538356,0.9549003019327309,0.06333269066298114
Breast n-3,0.09112237278634283,0.8980165634458045,0.16285522506985697
Breast C18:3 ,0.024686572192853782,0.9161639030292331,0.11408133775728528
Thigh n-3,0.16311150885129405,0.8528231927001632,0.11288933492231511
Plasma n-6,0.09546458092054665,0.7697282495576009,0.14293959367459247
liver MURF1,0.09202314998581893,0.781741694256604,0.26801903330281723
