,rf rmse,rf r2,rf mape,lr rmse,lr r2,lr mape,svm rmse,svm r2,svm mape,nn rmse,nn r2,rnn mape,gb rmse,gb r2,gb mape
breast mTOR,0.21263165215831262,0.6220721001388463,0.2226569109440014,0.7448051925766208,-3.637015186917851,1.0375541883036872,0.21326830386173198,0.619805564107961,0.19802926275462618,0.2099170608847591,0.6316602399625075,0.21743579364321156,0.21677207239732577,0.6072105758140834,0.2162877746482241
breast S6K1,0.23090910377049442,0.039854437846896795,0.162513782031898,0.35546079187501484,-1.2752984748989245,0.352501981709679,0.20910915711814698,0.2125897378721726,0.1432060291552133,0.20686484127568208,0.22940118609803317,0.14269635786628296,0.2375225558629266,-0.01593210124622213,0.17872611119091286
breast 4E-BP1,1.1023018593987508,0.015906588425557477,0.8359914170999979,3.4185155726170637,-8.464776640323892,1.8340921739016316,0.9227529850596543,0.310385853550306,0.5855678393388765,0.914298571605518,0.32296467845604304,0.7189844818514821,1.214579409597012,-0.19477760352843543,0.9246544129662859
breast MURF1,4.539941895609856,-0.02313519695725974,10.348296126738534,7.225092299968147,-1.5913091887413797,22.63656904454341,4.384007141087109,0.04594163926959405,7.609989586067929,4.273170169720071,0.09357304497212604,10.987176052590597,4.139051694151423,0.14957868474083735,7.71035809478204
breast MAFbx,2.0863116827058903,-0.0023559315793026947,0.6931242069246161,2.198683700102401,-0.11324075795800703,0.6113778355204331,2.125736138283176,-0.04059634534651191,0.42189322406773805,2.0717506708608924,0.011586744491745016,0.562457728437812,1.9703699871956428,0.10595546646549692,0.7146187062549466
breast AMPK,1.3517837973442928,0.5097046408974739,5.9819509663670125,6.4504976141599615,-10.164254987635237,3.821472311684221,1.4502320954557226,0.4356892365125101,5.714484403168462,1.1356250880031644,0.6539703879835181,5.4167381739421865,1.3647734489931007,0.5002366098130111,6.166755772623733
breast LAT1,0.18817349297147865,0.003698820871256947,0.15308918970438257,3.0133726752748378,-254.49325709581123,2.1273513708326717,0.19739619923935395,-0.09635530844050422,0.18115743739529144,0.20643942586715877,-0.19911003175155662,0.18114333806637836,0.19096999331561137,-0.026133856226525642,0.16515147879851158
breast CAT1,0.3948925193475459,-0.04369020503105947,0.3377557403034848,9.178995568506656,-562.9026227545924,8.714678985026518,0.41964241431713567,-0.17861658527941704,0.3690576550819889,0.4160685189276647,-0.15862663498247653,0.382081318229707,0.3821376307536691,0.0226425956504398,0.34407634151219035
breast SNAT2,0.4089473571218659,0.06001253917679095,0.4151385203878822,1.2446792250096541,-7.707673372122304,1.2033850189744766,0.37253692569355157,0.21994378541677062,0.3609128805499772,0.3776295356497227,0.19847115213935274,0.3742152146751596,0.3950777075201581,0.12269157764793304,0.4003425185300799
breast VDAC1,0.2739693271230221,0.33028884156034843,0.172393295730899,5.137017540691309,-234.45382289222925,2.752454788441643,0.2555935658450267,0.41711419005231576,0.1445712718444311,0.229956520738922,0.5281813462654199,0.1425657884567089,0.2953968821452658,0.22143394814601247,0.1920273989418131
breast ANTKMT,0.29367495657841597,-0.4179298112972847,0.25009987630798053,1.7355307794077248,-48.52056002845937,1.3323054364442526,0.25285910762402775,-0.051182467751627936,0.2186751423175836,0.24901175015162805,-0.019437460889639713,0.22235133519803152,0.283520393387862,-0.3215679950299186,0.24697255177260383
breast AKT1,0.2105188744317779,-0.5614635731880848,0.24164470784473624,0.4515170237254542,-6.18287050957714,0.47798384577353975,0.1951376534714097,-0.3416274489476656,0.21479856788670795,0.2193495846950379,-0.6952096325215207,0.2481217302238096,0.20101465369131855,-0.4236564976536439,0.2300436140958435
IGF1,0.5950245339138237,-0.5089092465069578,0.5420171386349092,4.234360506100109,-75.41331394871955,3.0469456810339053,0.543628383767425,-0.2594984055473728,0.44072088524303615,0.5425723630486823,-0.25460990227476343,0.4480518160415916,0.6029946513149483,-0.5496024486567801,0.554266450974548
IGFR,0.2513734343482758,-0.2201707918863689,0.21443353003049181,3.1631470268772883,-192.2060071160688,2.289639661258825,0.24245734392652932,-0.13514817150464253,0.19678537823106526,0.25264935835769187,-0.23258894051783918,0.20007662160995746,0.25746099526584154,-0.27998463086247183,0.2175086376293586
IRS1,0.28395722892326736,-0.36798649276034157,0.18781549176216913,6.888394130756943,-804.0297436190829,5.0011779746207425,0.3076606431234501,-0.6059049533612471,0.19751041332389283,0.287736002592176,-0.40463783479683846,0.18892636439790608,0.3120614933186606,-0.652176023673886,0.1925579986696642
FOXO1,1.4823712341057047,-2.793188992010012,0.9956852201668719,2.674273903910368,-11.345318442274628,1.5214812664185653,0.7453625858363184,0.040984332515723976,0.45029749708541195,1.2401359909903684,-1.6547837301318906,0.7580078021157161,1.039023119272168,-0.8635495567447764,0.6085136778133883
LC3-1,0.20177322331880956,-0.3587695185542028,0.1914413987763186,3.495278601522893,-406.73907029058137,2.868507774160925,0.1730719229341134,0.0002947567328842604,0.16902693354099385,0.18712932240289235,-0.16869832598169454,0.1702907356057486,0.23496969496792933,-0.8426482461721725,0.20767245117919605
MyoD,0.20333019553302037,-0.09159362109286406,0.11414610191206687,13.133941314030734,-4553.569938777134,9.057221604940066,0.21221213465135166,-0.1890432737071417,0.11082661179524354,0.21254481507453873,-0.19277427132007774,0.10914025078950972,0.2109281840521221,-0.17469862372443523,0.12536873291053255
MyoG,0.3389913858771371,0.024467913213416015,0.2530803256086173,5.330085867802049,-240.17519859145003,3.2051609676759405,0.3560498648751647,-0.07618239741496602,0.20926499014049094,0.3124424423110589,0.17128675212346045,0.1996197626220595,0.3367366327943493,0.03740198151762164,0.2984259459215261
Pax3,0.15535119586248505,-0.01564549940679738,0.13075672956959927,0.2978907900762864,-2.7344538731434915,0.2567642406680774,0.13934797833095194,0.1828264678560223,0.1222415914932416,0.1663234534991976,-0.1641794662634326,0.14909821823549194,0.1551042205795219,-0.012418746723224627,0.12481989391798165
Pax7,0.17868483004854882,-0.1401105894453114,0.15562149686117036,6.965353760242215,-1731.4390709988575,5.8797647658812835,0.16334117428692754,0.04728509528127167,0.15292840593586463,0.17417077664425265,-0.0832337666871028,0.14975635378193114,0.20354843485333235,-0.47947335231301547,0.1695558137957077
Mrf4,0.2876670638475905,-0.9957227534164625,0.2974489337426278,9.039186701921981,-1969.5099899909958,8.369095016459056,0.20866814145649876,-0.05010378390778758,0.21078442988690108,0.2045002922948963,-0.008574058995346023,0.21970165075435852,0.2762871618473366,-0.8409472216594158,0.29157333252317263
Mrf5,0.3165925827839694,-0.7812791884528609,0.23688135623066073,2.6814382486347785,-126.780952770347,1.809271125579147,0.29198717579752875,-0.5151585365881983,0.21096281513871784,0.28018001578546686,-0.39509837529482783,0.21096699621288365,0.34335080310800664,-1.0951091676805773,0.28073971809824133
liver mTOR,0.5501216098306959,-0.2612989516872031,0.30458139791906147,0.7400611761701289,-1.2826318225464046,0.4867726969872523,0.5599301911540134,-0.30667744450618706,0.29616940312372747,0.544557170002401,-0.2359121041819483,0.3244490773192852,0.5543878422530368,-0.28093773476322537,0.2790005333426585
liver S6K1,0.96078031250928,-0.3088269601322111,0.28471999095108996,2.7924413619016404,-10.056105294450337,0.8552390408271272,0.8959161905742498,-0.13806957148610044,0.2518843297433839,1.0687252033919286,-0.6194447815707398,0.34672561918695066,0.9212419139539811,-0.2033207884846966,0.26119342553774716
liver 4E-BP1,0.6757475376943265,-1.23318582614889,0.16579722264393856,5.6524211165012535,-155.25176772225382,1.6635700654612549,0.6548059407034812,-1.0969165179167502,0.14518807627286698,0.5822023908232763,-0.6576921774987836,0.1275127714819238,0.6943280293608741,-1.3576824695328944,0.17045692996531375
liver MURF1,0.11565873702796911,0.6552268154665613,0.22266587667350843,0.25762211193778534,-0.7105779183885479,1.3906243057369336,0.12761883463191262,0.5802350832950078,0.4977671858350698,0.10588203285855598,0.7110510432175483,0.38099936710807025,0.09910356686425789,0.7468632731030579,0.2686088895294912
liver MAFbx,0.30258978407171283,0.426208730109227,0.3229777903585626,0.6407138602255259,-1.5726082101537893,2.9130654379005265,0.26413270088456375,0.5627903310126223,0.5108573177358411,0.2426436036821641,0.6310367525033571,0.2988835292824067,0.3204069981373859,0.35664689753178835,0.3087512185212674
liver AMPK,1.2371582303697597,0.07128766123347174,0.3207115619310875,1.6071071082356705,-0.5671853461486933,1.104332763351386,1.2465237432886527,0.05717339611878869,0.34623417051358113,1.2038928211634534,0.12055969067940009,0.3308981216359902,1.2740346348130618,0.015097619267906093,0.28077406778790404
