,nn rmse,nn r2,rnn mape,att rmse,att r2,att mape
average feed intake g per d,24.61178436495506,0.8849923877288435,0.1606092109281549,15.385376239374683,0.9550575621635541,0.1211904011260432
"bodyweightgain,g",9.630033284044185,0.8959602451788327,0.1392217880632858,10.435563481760283,0.8778269116303752,0.1530705238821551
Liver PUFA,151.42495993746198,0.8672950931967006,1.2167298218299831,406.2590743029423,0.044791462033806684,4.66806777063019
Liver n-3,47.79336544579082,0.5580064558950386,2.002187630204842,45.40325326360613,0.6011086264455234,2.4690153455519357
Liver n-6,169.34079995760538,0.8024922585199322,1.2988891705956702,371.3568864052646,0.050174396039400326,5.745008304562222
Liver C18:3 ,25.219944161088872,-17.271921387200248,0.9656217397661517,9.017519000771633,-1.3359853182785821,0.2584217154346318
Liver C22:6,32.40579715851561,0.4251262959948058,1.4684720996275313,15.518662981422152,0.8681635110759707,1.6891534499178698
Breast SFA,14.58223957942883,0.974854451110625,0.6176046771452418,83.76341899076802,0.17029930651690284,2.718783949305041
Breast MUFA,18.201218175919486,0.968424560059462,0.8380824910415628,83.51256970436796,0.33525941687798255,2.2330360566842504
Breast PUFA,30.03937828546119,0.910904469195019,1.0145193506762562,87.65450931328593,0.24138300910604404,3.124912346444226
Breast n-3,2.114328886009903,0.8667026834659235,0.9061260678025506,1.6288188972229924,0.9208917242418614,1.2809625632183768
Breast n-6,31.88056741427703,0.8891747180973066,1.2716740459728633,63.73876862255872,0.557009821225797,2.655208707386302
Breast C18:3 ,0.9313517252437603,0.9115882098765191,0.7606370895805834,1.0170690995571834,0.8945652780743415,0.9663795466111309
Breast C22:6,1.070611651835579,0.7011725046422937,0.20722933923162715,0.1334002814596853,0.9953605113644358,0.15672359101339292
Thigh SFA,85.52384959214133,0.7807302550448761,0.8456648461505052,170.29133959753287,0.13066062000903844,3.064283689599131
Thigh MUFA,110.06228335437667,0.7635418860894438,0.9725875018783426,215.6643902801596,0.09210825344757867,4.401952965770921
Thigh PUFA,156.0325687329969,0.6479328098691286,1.5665954024255262,253.97397454482265,0.06723236502735519,5.388592994106363
Thigh n-3,2.3118014809989353,0.9669336363008567,2.1418248028986113,1.7663056725412687,0.9806973431380922,3.4499342867532246
Thigh n-6,144.1028641261049,0.6364720704421737,1.7048864497403486,231.9674937841579,0.05800885974755565,5.986160766151407
Thigh C18:3,5.609052509382609,0.5832575540570251,1.5791545133635494,5.645352134118044,0.5778461073457661,2.0385361708703673
Thigh C20:4,0.5431377902195784,0.9178972515839736,0.47357991148493545,0.58339531359912,0.9052752373512996,0.3786369718627839
Thigh C22:6,3.4531701561256285,-0.19467412129302986,0.9822170805597338,2.189785531198996,0.5195848857293421,0.6757116004114746
Plasma n-6,0.14924766466114153,0.4371778121223663,0.16573808043209864,0.13298814546971677,0.5531291961310908,0.18091392959452515
Plasma SFA,0.19276193817293397,-0.1203604362987476,0.12647523086440984,0.20728762942443274,-0.29557322802817576,0.14557955303098222
Plasma PUFA,0.19121757228567926,-1.0652466395274276,0.17669218290906913,0.1956188458297161,-1.161412747278424,0.17858510584014875
Plasma n-3,0.4062709561779258,-7.262795263875075,0.8550561502429229,0.17547840889305372,-0.5414974662117751,0.36200851952305774
Breast C20:5,4.383200359351836,,0.8301515832105749,1.2284877586364749,,0.23266813610539294
Liver C20:5,55.60320035935184,,0.9841274399885281,18.077171325683594,,0.31994993496785123
