pen,Start,End,Species,Study,Diet,average feed intake g per d,"average feed intake, g","ME, kcal",Overall,"NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:5,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg",average feed intake g per d,"bodyweightgain,g",akp U per ml,alt (U per L),glucose (g per L),"nefa,umol per L",pip mg per dL,tc mg per g,tg mg per g,trap U per L,uric acid mmol per L,BCA,breast mTOR,breast S6K1,breast 4E-BP1,breast MURF1,breast MAFbx,breast AMPK,breast LAT1,breast CAT1,breast SNAT2,breast VDAC1,breast ANTKMT,breast AKT1,IGF1,IGFR,IRS1,FOXO1,LC3-1,MyoD,MyoG,Pax3,Pax7,Mrf4,Mrf5,liver mTOR,liver S6K1,liver 4E-BP1,liver MURF1,liver MAFbx,liver AMPK,breast weight (g),breast PH,breast WHC,breast HARDNESS,breast SPRINGINESS,breast CHEWINESS,breast COHESIVENESS,breast GUMMINESS,breast RESILIENCE,Thigh Weight (g),thigh PH,thigh WHC,thigh HARDNESS,thigh SPRINGINESS,thigh CHEWINESS,liver weight(g),Plasma SFA,Plasma MUFA,Plasma PUFA,Plasma n-3,Plasma n-6,Plasma C16:0 ,Plasma C16:1 ,Plasma C18:0 ,Plasma C18:1 ,Plasma C18:2 ,Plasma C18:3 ,Plasma C20:5,Plasma C22:6,Liver SFA,Liver MUFA,Liver PUFA,Liver n-3,Liver n-6,Liver C16:00 ,Liver C16:1 ,Liver C18:0 ,Liver C18:1,Liver C18:2,Liver C18:3 ,Liver C20:5,Liver C22:6,Breast SFA,Breast MUFA,Breast PUFA,Breast n-3,Breast n-6,Breast C16:0,Breast C16:01,Breast C18:0,Breast C18:01,Breast C18:2,Breast C18:3 ,Breast C20:4,Breast C20:5,Breast C22:6,Thigh SFA,Thigh MUFA,Thigh PUFA,Thigh n-3,Thigh n-6,Thigh C16:0,Thigh C16:01,Thigh C18:0,Thigh C18:1,Thigh C18:2,Thigh C18:3,Thigh C20:4,Thigh C22:6
1,1,42,B,broiler chicken DHA,G Control,114.9984,3104.9568,18656.7921,0,517.7536315,177.5032028,3284.445691,143.0080741,2205.009041,1284.4278,70.431066,20.2958892,46.3221288,69.2435304,63.51318,25.2964728,41.354388,46.8014544,11.4607008,52.0524792,67.00379753,132.3338789,25.54183658,46.5168288,227.476757,55.65628111,78.31053754,64.70863256,45.47673538,113.0323873,329.802089,24.98134437,42.16617627,79.21567457,1.568785543,67.35319264,1496.737614,0.42753086,0,0,17.33372028,0.52732975,0,0,2.49475032,27.20905776,61.87403808,3.41747748,0.968428304,0.316359577,0,0,0.372785944,0,0,0,0.271922827,18716.54759,14127.55344,0.000323083,1397.23056,0,23.287176,2.334927514,0,3.322303776,11.643588,47.19534336,9.3148704,11.7367367,0.471953434,1.167463757,0.018629741,4890.30696,0.031360064,0.042825208,23.150286,0.732280482,6.2099136,21.57732054,55.24870615,11.27843406,14.86448582,37.2594816,0.16456271,210.516071,93.76969536,0.279446112,164.5627104,114.9984,39.45,250.6082473,1.666929755,3.10989183,552.6516309,74.64348262,63.1928322,24.59028815,,159.484877,,0.3864,0.65263,1.45255,1.97747,0.4587,2.628,,,,,,,,,,,,,,,,,,0.63624339,1.923046767,2.719803771,0.436488136,0.280054848,0.811179221,,5.865,0.373408449,4161.177,0.765358685,1372.505962,0.503341433,2691.863,0.211168192,,6.597675,0.403831743,3909.342885,0.890243902,2384.006234,,1.140521262,,0.715641022,,0.715641022,0.53425991,,0.606261353,,0.715641022,,,,9.976038234,0.581702273,4.788228009,,4.788228009,5.055648034,0.581702273,4.9203902,,4.788228009,,,,2.349808123,2.537250677,2.553805228,0.080271113,2.553805228,1.729923341,0.264192201,0.619884782,2.273058476,2.213899351,0.080271113,0.339905877,,,2.452806436,3.025153764,2.204390329,0.070489156,2.204390329,1.847892033,0.386240326,0.604914403,2.638913438,1.91446334,0.070489156,0.289926989,
2,1,42,B,broiler chicken DHA,G Control,108.924,2940.948,17664.38037,0,490.5305522,168.3783665,3107.846879,135.5570163,2084.547056,1219.16421,66.8401065,19.2499173,43.9361577,65.6814501,60.245127,24.0626052,39.2306409,44.3817306,10.8726462,49.3724808,63.56822607,125.6557496,24.23818192,44.14021578,215.9078633,52.83170389,74.29686029,61.42499606,43.17074069,107.2976463,312.2498287,23.65752096,39.90251493,74.96284307,1.483000643,63.67016092,1414.892465,0.40600141,0,0,16.42297923,0.49922148,0,0,2.35630296,25.66971162,58.37980878,3.22609797,0.9159445,0.299223096,0,0,0.35323145,0,0,0,0.257053445,17759.58022,13381.3134,0.000305608,1323.4266,0,22.05711,2.211592896,0,3.14681436,11.028555,44.7024096,8.822844,11.11678344,0.447024096,1.105796448,0.017645688,4631.9931,0.029703575,0.040674531,22.012803,0.730274555,5.881896,20.44012863,52.44546188,10.69653543,14.10200102,35.291376,0.155870244,199.3962744,88.8166296,0.26468532,155.870244,108.924,41.95,175.9143579,2.416055925,2.858007892,893.8748029,54.92878318,70.78177196,23.06518528,,148.822085,,1.10648,1.70729,5.93895,6.71992,1.21699,6.65521,,,,,,,,,,,,,,,,,,0.44838645,2.447180762,3.024800611,0.610644488,0.097034129,0.912966839,,6.1103,0.435325053,3669.466,0.764,1425.467,0.516,1864.775,0.217,,6.7716,0.397308858,3205.350629,0.879573171,1861.827031,,1.351591685,,0.916856671,,0.916856671,0.615534437,,0.736057248,,0.916856671,,,,9.051097829,0.365896729,4.639263828,,4.639263828,4.014262066,0.365896729,5.036835763,,4.639263828,,,,3.43921215,2.677646536,2.986324797,0.08852001,2.897804787,2.69809287,0.545342018,0.74111928,4.045623488,2.621095952,0.08852001,0.276708835,,,2.386502977,2.565746019,2.157643122,0.070489156,2.157643122,1.699511584,0.315364712,0.686991392,2.250381306,1.811994826,0.070489156,0.345648295,
3,1,42,B,broiler chicken DHA,G Control,103.4575,2793.3525,16777.66298,0,465.9155,159.9347054,2951.787777,128.7565511,1979.82083,1158.04755,63.4890825,18.2845215,41.732766,62.387658,57.223935,22.857741,37.263402,42.155748,10.327446,46.896489,60.38071368,119.3578746,23.02296469,41.9271157,205.084126,50.18334432,70.57142456,58.34587951,41.00672129,101.9190516,296.5752508,22.47009557,37.89892458,71.19879363,1.408493512,60.47132146,1343.807143,0.38565382,0,0,15.59888415,0.47415997,0,0,2.2378653,24.3786456,55.4437494,3.06389385,0.869939552,0.284194315,0,0,0.335507386,0,0,0,0.244138875,16869.13195,12709.75388,0.00029026,1257.008625,0,20.95014375,2.10060108,0,2.988887175,10.47507188,42.458958,8.3800575,10.55887245,0.42458958,1.05030054,0.016760115,4399.530188,0.02821286,0.038636204,20.9103525,0.730218233,5.586705,19.41436094,49.81648149,10.16007962,13.39487334,33.52023,0.148047683,189.3892995,84.3592455,0.251401725,148.0476825,103.4575,40.78,65.03565281,2.397451798,2.830513519,689.961603,75.42858127,76.0258146,18.64238695,,180.810463,,0.514,0.70199,2.17287,3.42679,0.59123,2.85943,,,,,,,,,,,,,,,,,,0.614467344,2.550978108,2.733621377,0.403441327,0.123864008,0.968338834,,6.638635,0.400217582,3182.616856,0.762910798,1081.978912,0.435629,1404.308491,0.181822624,,6.235515,0.395961307,3277.671524,0.87347561,1697.09339,,1.503174388,,1.028683964,,1.028683964,0.685334489,,0.817839899,,1.028683964,,,,8.694029993,0.396074805,4.666039551,,4.666039551,4.451944871,0.396074805,4.242085122,,4.666039551,,,,2.572305038,3.074333302,2.354773281,0.072022217,2.282751065,1.957243227,0.384526158,0.615061811,2.689807144,2.010886776,0.072022217,0.271864289,,,1.988766525,1.944173998,1.919794309,0.070489156,1.919794309,1.472398748,0.317015337,0.516367777,1.944173998,1.648654635,0.070489156,0.271139674,
4,1,42,B,broiler chicken DHA,G Control,113.1755,3055.7385,18358.86533,0,509.6065076,174.7892014,3231.279045,140.7836845,2168.592605,1265.0796,69.365457,19.9845684,45.6120801,68.1838533,62.54091,24.9349806,40.7228985,46.0806138,11.2858866,51.2550234,65.98268749,130.3579048,25.15486404,45.81116353,224.0461392,54.81918413,77.11774044,63.73551729,44.79349108,111.3329706,324.5320911,24.58432628,41.4849604,77.9358316,1.542845957,66.23951976,1471.989328,0.4211644,0,0,17.06121306,0.51888689,0,0,2.45272914,26.73959202,60.80884866,3.35925846,0.952594954,0.311190504,0,0,0.366937558,0,0,0,0.267426633,18432.34515,13903.61018,0.000317814,1375.082325,0,22.91803875,2.297915352,0,3.269640195,11.45901938,46.4472252,9.1672155,11.55069153,0.464472252,1.148957676,0.018334431,4812.788138,0.030862959,0.04218973,22.8163095,0.731527761,6.111477,21.23677413,54.4179857,11.10518532,14.637836,36.668862,0.161954141,207.1790703,92.2833027,0.275016465,161.9541405,113.1755,40.58,84.53053569,2.397451798,2.808340637,393.2458013,56.73160231,76.0258146,30.53818935,,323.691886,,0.28991,0.69164,1.95036,2.61276,0.82051,4.66448,,,,,,,,,,,,,,,,,,0.798758861,3.844779334,4.005774083,0.388636382,0.114800683,1.066861901,,6.062535,0.373091993,3637.523826,0.75528169,1523.288666,0.557125077,2042.344698,0.237205942,,6.039,0.397138466,3607.153715,0.853658537,1964.336566,,1.479805071,,1.009877638,,1.009877638,0.67143377,,0.808371301,,1.009877638,,,,10.47673118,0.259331396,4.849527164,,4.849527164,4.818408656,0.259331396,5.658322524,,4.849527164,,,,1.886024685,2.104384622,1.667305024,0.080271113,1.667305024,1.418930135,0.261359893,0.46709455,1.843024729,1.410443579,0.080271113,0.256861445,,,2.531008087,3.651417549,2.621214444,0.070489156,2.550725288,1.992295012,0.317015337,0.538713075,3.077799641,2.270841587,0.070489156,0.279883701,
5,1,42,B,broiler chicken DHA,G Control,112.0793,3026.1411,18164.18843,0,504.9071369,173.6386367,3192.827178,139.6365643,2138.568376,1258.4455,68.97455775,19.84719429,45.30140622,67.72947678,62.12245914,24.9182325,40.45958003,45.74667132,11.21403528,50.90842386,65.56798997,129.7760483,25.01002297,45.5420789,222.8480319,54.53923433,76.63669046,63.41081092,44.56909578,110.7681712,321.0706341,24.33474133,40.99914049,77.02271448,1.521306714,65.31476823,1451.439294,0.41938543,0,0,16.9053276,0.51325607,0,0,2.413988212,26.25208685,59.71414569,3.302371863,0.940343211,0.307207153,0,0,0.36365642,0,0,0,0.263693164,18322.50179,13768.94201,0.000313804,1361.763495,0,22.69605825,2.275658107,0,3.237970977,11.34802913,45.99734472,9.0784233,11.43881336,0.459973447,1.137829054,0.018156847,4766.172233,0.030564025,0.042024587,22.78262133,0.727289119,6.0522822,21.03501337,54.14152057,11.02740472,14.54513143,36.3136932,0.160385478,205.1723666,91.38946122,0.272352699,160.3854783,112.0793,44.14,419.4226695,3.423159319,3.336942141,367.3620824,70.0201239,72.68327035,24.43777786,,106.170913,,0.66834,1.11429,5.02433,8.27137,2.5194,0.59558,,,,,,,,,,,,,,,,,,0.819025889,3.882627492,3.086124917,0.576011077,0.107564494,0.798988578,,6.734445,0.405170222,3919.041057,0.769953052,1422.284708,0.477746043,1847.81326,0.190301232,,6.0288,0.346574961,3224.832992,0.903963415,1686.901128,,1.274248545,,0.894653075,,0.894653075,0.604647246,,0.669601299,,0.894653075,,,,9.31106721,0.362029927,4.047218246,,4.047218246,4.590013344,0.362029927,4.721053866,,4.047218246,,,,2.533843726,2.994617543,2.158161885,0.080271113,2.158161885,1.932402186,0.40434261,0.60144154,2.590274933,1.89623954,0.080271113,0.261922345,,,2.265033955,2.356000425,2.006194076,0.070489156,2.006194076,1.583158136,0.249440972,0.681875819,2.106559453,1.663962959,0.070489156,0.342231117,
6,1,42,B,broiler chicken DHA,G Control,99.57538,2688.53526,16136.12171,0,448.6004704,154.3185866,2835.942474,124.078848,1899.122735,1118.58435,61.3062864,17.63832618,40.25991627,60.19297191,55.209708,22.15968462,35.95826115,40.65372126,9.96652782,45.24318018,58.27437751,115.3626458,22.22923193,40.47788532,198.07894,48.47856506,68.11216937,56.36436194,39.61677069,98.45942065,285.2205581,21.61877976,36.41712814,68.41471175,1.350955935,58.00104148,1288.912033,0.37281651,0,0,15.02020249,0.45593778,0,0,2.143247418,23.30153789,53.00403766,2.931627492,0.835146975,0.272841692,0,0,0.323111644,0,0,0,0.234165695,16284.92445,12232.83543,0.000278706,1209.840867,0,20.16401445,2.021778516,0,2.876732728,10.08200723,40.86573595,8.06560578,10.16266328,0.40865736,1.010889258,0.016131212,4234.443035,0.027154206,0.037359379,20.25876015,0.726837719,5.37707052,18.68864848,48.12518341,9.799986663,12.92710179,32.26242312,0.142492369,182.2826906,81.19376485,0.241968173,142.4923688,99.57538,40.81,120.3300304,2.083662194,3.185279629,725.3149751,65.48399837,77.39011837,25.04781901,,251.184895,,0.54241,0.854,2.28457,2.19302,0.49772,2.62031,,,,,,,,,,,,,,,,,,0.737309847,2.92347033,2.574386008,0.656389923,0.173313358,1.714362212,,6.42128,0.428154075,3364.154534,0.774647887,1409.510523,0.530207046,1812.827577,0.22951116,,6.1491,0.407846328,4418.570543,0.879573171,2191.855046,,1.34986819,,0.913142474,,0.913142474,0.62224197,,0.72762622,,0.913142474,,,,9.501792889,0.393007026,4.59805536,,4.59805536,4.586055394,0.393007026,4.915737495,,4.59805536,,,,2.556238744,2.677646536,2.344074043,0.080271113,2.311965598,1.947318352,0.371952576,0.608920393,2.688357754,2.03051304,0.080271113,0.281452558,,,2.324823596,2.708498351,2.181847256,0.070489156,2.167749425,1.719051103,0.317015337,0.605772493,2.403565567,1.861983469,0.070489156,0.305765955,
1,1,42,B,broiler chicken DHA,g 1%,115.1853,3110.0031,18687.22703,0,530.0211033,179.0582659,3411.998233,145.5280203,2314.86989,1286.7658,70.55829675,20.33166609,46.40388642,69.36610338,63.62554914,25.3466037,41.42788103,46.88333892,11.48110848,52.14444066,67.47789564,131.9051351,25.72099045,46.73767312,227.878893,55.67876276,78.84376431,64.73030131,45.63799933,113.4483172,287.7981687,25.57466902,43.48981634,81.69644954,1.647972532,70.75295404,1572.287868,0.42370901,0,0,18.90489677,0.39670233,0,0,2.187363955,19.67977672,48.67009745,3.173491013,1.011298675,0.330255023,0,0,0.381029008,0,0,2.6694221,0.285648572,18814.46738,14150.51411,702.8610258,1399.501395,0,23.32502325,2.338722331,0,3.327703317,11.66251163,47.27204712,9.3300093,11.75581172,0.472720471,1.169361166,0.018660019,4898.254883,0.031411031,0.043527171,23.19550533,0.721641914,6.2200062,21.68372214,55.36203249,11.34180364,14.92971747,37.3200372,0.164830164,210.8582102,93.92209362,0.279900279,164.8301643,115.1853,40.56,52.06382049,2.530161236,2.952907827,555.4925269,66.50171884,61.27428002,21.99761327,,204.268607,,0.56895,0.94015,2.87977,3.1927,0.53734,4.7303,,,,,,,,,,,,,,,,,,0.671810673,2.728925346,4.411466658,0.637959987,0.127919421,1.353289195,,6.01699,0.346349068,5838.09742,0.785211268,2121.850147,0.472730802,2696.857751,0.180744684,,6.59808,0.403333839,3152.758087,0.888211382,1851.977265,,1.289829796,,1.120616964,0.406537013,0.714079951,0.686401118,,0.603428678,,0.714079951,,,0.292295013,11.13990869,0.709474763,8.483150241,2.142351747,6.340798494,6.714993543,0.709474763,4.424915149,,6.340798494,,,1.726208533,2.881351817,3.532624127,2.196236454,0.381786124,1.81445033,2.280203904,0.536546445,0.601147914,2.996077682,1.660665095,0.109482615,0.153785235,,0.381786124,2.481619863,2.957473788,2.489471691,0.380378945,2.109092746,1.845239023,0.406644197,0.636380841,2.550829591,1.868269928,0.079462124,0.240822818,0.300916821
2,1,42,B,broiler chicken DHA,g 1%,111.7244,3016.5588,18132.02396,0,514.0352623,173.4855199,3312.320856,141.0823618,2248.794972,1246.011725,68.333706,19.69986096,44.96082228,67.20522372,61.64412336,24.501366,40.13432647,45.43284168,11.12220072,50.52192264,65.37036883,127.6952082,24.91270603,45.27077051,220.6818457,53.91523336,76.37987046,62.67978279,44.19110206,109.8542385,279.2748572,24.81184434,42.21665256,79.30495192,1.600998253,68.73619167,1527.470926,0.41012189,0,0,18.37662196,0.3850082,0,0,2.12722025,19.16029365,47.38276233,3.087204322,0.982091649,0.320710071,0,0,0.369498576,0,0,2.58642733,0.277506364,18224.5587,13725.34254,681.742793,1357.45146,0,22.624191,2.268452218,0,3.227717916,11.3120955,45.85169376,9.0496764,11.40259226,0.458516938,1.134226109,0.018099353,4751.08011,0.030467244,0.042128706,22.42884492,0.723194393,6.0331176,21.03095567,53.60532588,10.98994021,14.46279971,36.1987056,0.159877616,204.5226866,91.10007576,0.271490292,159.8776164,111.7244,36.86,80.50275339,2.614499944,2.876633113,615.1513423,65.62938701,57.52244463,25.56635399,,246.919778,,0.52128,0.78922,2.00217,1.93354,0.42801,2.40257,,,,,,,,,,,,,,,,,,0.761701206,2.938427525,3.355162994,0.586078643,0.133664956,1.402530828,,6.02396,0.380709479,6928.661796,0.757042254,2434.396258,0.463256268,3226.026946,0.162652529,,6.912675,0.372049485,6092.194132,0.900406504,3797.262325,,1.388560887,,1.142213613,0.371789768,0.770423845,0.795349705,,0.593211183,,0.770423845,,,0.26192463,12.20241762,0.564773523,7.64399742,2.856178176,4.787819244,6.666153166,0.564773523,5.536264455,,4.787819244,,,2.424155832,4.212307014,4.549437708,3.191305084,0.49281764,2.698487443,3.291094031,0.604638985,0.921212983,3.944798723,2.463233756,0.101903231,0.235253688,,0.390914409,2.673178775,2.703038848,2.195446107,0.42522832,1.770217787,1.92232643,0.368748874,0.750852346,2.334289974,1.500968459,0.079462124,0.269249328,0.42522832
3,1,42,B,broiler chicken DHA,g 1%,111.3455,3006.3285,18067.83233,0,512.3178645,172.9798028,3299.86782,140.6352161,2239.675379,1242.6831,68.146812,19.6420194,44.8292691,67.0101903,61.46496,24.4541646,40.0191435,45.2966958,11.0904606,50.3744994,65.18300921,127.3679477,24.84342732,45.14409132,220.0836004,53.77124063,76.16154848,62.51251008,44.07367801,109.561191,278.2744671,24.72528862,42.05907548,79.00886909,1.594477869,68.45624985,1521.249997,0.40909828,0,0,18.29724039,0.38360572,0,0,2.11761189,19.0644921,47.1469599,3.07284408,0.978254965,0.31946015,0,0,0.368280515,0,0,2.57885154,0.276376164,18173.30402,13678.79468,679.4304986,1352.847825,0,22.54746375,2.260759032,0,3.216771495,11.27373188,45.6961932,9.0189855,11.36392173,0.456961932,1.130379516,0.018037971,4734.967388,0.030363918,0.042024709,22.3826895,0.722525358,6.012657,20.96016269,53.46354008,10.95742207,14.42161395,36.075942,0.159335411,203.8290723,90.7911207,0.270569565,159.3354105,111.3455,38.4,143.168929,2.822866163,2.820757451,401.137179,62.22729286,59.95261073,27.18296303,,218.1302378,,0.52921,0.87586,3.47134,6.10983,1.38576,1.96351,,,,,,,,,,,,,,,,,,0.620267663,2.392204917,3.359450687,0.54011366,0.116945241,1.393962665,,5.9836,0.353975689,4814.684666,0.756338028,1601.15522,0.553801296,2456.6306,0.163750866,,5.90278,0.355969835,4825.879857,0.880081301,2596.409926,,1.166128979,,1.031416099,0.278507474,0.752908625,0.591423317,,0.574705662,,0.752908625,,,0.278507474,14.25954475,0.575706241,9.728193453,3.407734903,6.32045855,7.629475289,0.575706241,6.630069464,,6.32045855,,,2.886917787,3.610367944,4.630309823,3.385319176,0.413075285,2.972243892,2.812289474,0.627555163,0.798078469,4.00275466,2.712484838,0.117061999,0.259759054,,0.296013285,2.877182304,2.408851464,2.482190331,0.508414927,1.973775404,2.005605837,0.311866267,0.871576468,2.096985197,1.612272467,0.079462124,0.361502937,0.508414927
4,1,42,B,broiler chicken DHA,g 1%,104.2897,2815.8219,16903.33518,0,480.0424174,162.6191645,3081.906499,131.9512606,2086.908037,1170.456888,64.15448738,18.46254047,42.14065392,63.00294588,57.78737289,23.16537495,37.63533953,42.55672392,10.43114598,47.35622691,61.30208909,120.0658533,23.37970404,42.47857628,207.2288388,50.6462661,71.63127961,58.8804543,41.51663109,103.1964113,260.25433,23.14103971,39.2893028,73.80527855,1.485516948,63.77819431,1417.293207,0.38584376,0,0,17.01387077,0.35859504,0,0,1.966032467,17.63251489,43.61373421,2.849864626,0.912590185,0.298038236,0,0,0.345198683,0,0,2.424127775,0.257489604,17098.39724,12811.98965,636.3758872,1267.119855,0,21.11866425,2.117498069,0,3.012929433,10.55933213,42.80049288,8.4474657,10.64380678,0.428004929,1.058749034,0.016894931,4434.919493,0.028439801,0.039644234,21.18169346,0.717375476,5.6316438,19.63585787,50.36646158,10.29762596,13.5649026,33.7898628,0.149238561,190.9127248,85.03782138,0.253423971,149.2385607,104.2897,41.66,255.3285659,2.768294058,3.334281395,297.2866484,62.92515832,57.52244463,22.30263384,,210.666283,,1.36253,1.62133,3.86688,4.31248,0.90674,6.03628,,,,,,,,,,,,,,,,,,0.683501123,2.526660414,2.234187282,0.474012699,0.097556629,1.002886375,,6.78019,0.493173048,3891.408913,0.751760563,1050.733584,0.353937893,1396.92736,0.146176327,,6.651705,0.362788386,7312.616617,0.87804878,3608.550076,,0.943754785,,0.826662513,0.210131539,0.616530974,0.508604009,,0.435150776,,0.616530974,,,0.210131539,12.76535849,0.70796597,7.30797034,3.514903247,3.793067092,7.435872329,0.70796597,5.329486159,,3.793067092,,,2.824771814,2.349107377,2.719483266,2.027400246,0.30897509,1.718425155,1.790622098,0.395442655,0.558485279,2.324040611,1.529128947,0.109482615,0.189296208,,0.30897509,2.79919145,3.825413846,2.030270428,0.280625586,1.749644842,2.197036102,0.374747739,0.602155348,3.117410538,1.556219323,0.079462124,0.193425519,0.280625586
5,1,42,B,broiler chicken DHA,g 1%,121.3106,3275.3862,19690.90611,0,558.110347,188.2751802,3597.935557,153.1511973,2443.473943,1351.882913,74.14491938,21.37975763,48.7943055,72.9334665,66.89867625,26.56206675,43.5536865,49.310289,12.0695805,54.82909575,70.93949796,138.5291652,27.03264669,49.12398759,239.4428375,58.49626202,82.88625164,68.00536318,47.94520549,119.1878533,303.298763,26.94353051,45.85558762,86.14085686,1.739629441,74.68809066,1659.735348,0.44488579,0,0,19.9731177,0.41815457,0,0,2.312511188,20.83996384,51.53524324,3.356595788,1.066942608,0.348415397,0,0,0.401161575,0,0,2.806962525,0.30153577,19776.03855,14903.00721,740.2377181,1473.92379,0,24.5653965,2.463090422,0,3.504663234,12.28269825,49.78587024,9.8261586,12.38095984,0.497858702,1.231545211,0.019652317,5158.733265,0.033081401,0.045698405,24.31864688,0.723907125,6.5507724,22.8348311,58.15842566,11.92739195,15.69462747,39.3046344,0.173595469,222.0711844,98.91666324,0.294784758,173.5954686,121.3106,39.86,180.3809018,2.768294058,2.792376162,640.403751,56.49898048,67.498916,26.87794246,,210.666283,,0.335,0.91771,2.14684,2.43532,0.84503,5.54452,,,,,,,,,,,,,,,,,,0.568566916,2.607923106,2.717821421,0.360941465,0.139866179,1.303643526,,6.063425,0.383601365,8852.559688,0.741197183,3014.425352,0.452773539,4109.91731,0.16416362,,5.92146,0.36872758,5748.182821,0.87195122,3186.482699,,1.089860751,,0.900969022,0.266764494,0.634204527,0.576848599,,0.513012152,,0.634204527,,,0.266764494,11.10715306,0.609942339,8.861493936,3.657769006,5.203724931,6.046051658,0.609942339,5.061101407,,5.203724931,,,2.965985612,2.970015716,3.197383692,2.154696767,0.453808041,1.700888726,2.295643939,0.409509566,0.674371777,2.787874126,1.527772645,0.109482615,0.173116081,,0.453808041,2.952322814,3.047319409,2.619942237,0.41623238,2.203709857,2.19636714,0.411731617,0.755955674,2.635587792,1.947330006,0.079462124,0.256379851,0.41623238
6,1,42,B,broiler chicken DHA,g 1%,131.4798,3549.9546,21341.47129,0,604.8958055,204.0598277,3899.509713,165.9902137,2648.265995,1465.229925,80.36140275,23.17218705,52.8851187,79.0480971,72.5073525,28.7895897,47.2051935,53.4442806,13.0814892,59.4258633,76.88701622,150.1443261,29.29909833,53.2425857,259.5184183,63.40081238,89.83539229,73.70719615,51.96512992,129.1810274,328.7221033,29.20206991,49.69917036,93.36112044,1.885430292,80.94780719,1798.84016,0.48218852,0,0,21.64697973,0.45320485,0,0,2.506302405,22.58614598,55.85341298,3.637872135,1.156368693,0.377618003,0,0,0.434790692,0,0,3.04229223,0.326807917,21434.07246,16152.29343,802.2897426,1597.47957,0,26.6246595,2.669565859,0,3.798451422,13.31232975,53.95930992,10.6498638,13.41882839,0.539593099,1.33478293,0.021299728,5591.178495,0.035854541,0.049530147,26.35796025,0.723893294,7.0999092,24.74902361,63.03468514,12.92735063,17.01046082,42.5994552,0.188147594,240.6869219,107.2086289,0.319495914,188.1475938,131.4798,42.5,299.2691303,3.105648889,2.803906061,274.5594806,50.91605675,58.67357594,29.47061734,,218.1302378,,0.41961,0.74127,1.62427,5.72263,0.7141,3.28552,,,,,,,,,,,,,,,,,,0.814463761,2.502743276,2.255202552,0.462606544,0.221244784,2.804607402,,5.76042,0.403057563,7883.545258,0.746478873,2786.686725,0.479971782,3744.948651,0.165017172,,6.32774,0.412376832,5426.326303,0.882621951,3008.136458,,1.17562704,,1.004375642,0.306746058,0.697629585,0.631725349,,0.54390169,,0.697629585,,,0.26192463,12.29487652,0.633572567,8.404961078,3.115787416,5.289173662,6.898509197,0.633572567,5.396367327,,5.289173662,,,2.565607916,3.204629974,3.725847723,2.590991545,0.410092436,2.180899109,2.493970689,0.514738563,0.710659284,3.21110916,1.978657056,0.109482615,0.202242053,,0.36629939,2.756699041,2.988419471,2.363464159,0.402176032,1.961288127,2.033314906,0.374747739,0.723384135,2.547020618,1.697012037,0.079462124,0.264276091,0.386283607
